 	 2
MKJ 	 2
JJM 	 3
JMM 	 4
JLM 	 1729
MKM 	 3061
IJM 	 4281
JMO 	 6823
JKIM 	 2
MKJM 	 5
KILM 	 434
JLOO 	 435
MKOO 	 847
IKIM 	 1073
IJOO 	 1124
JMIL 	 1550
KIMO 	 1626
JMIJO 	 2
MKJLO 	 2
KILOO 	 86
JLOIL 	 93
JLILO 	 95
MKILO 	 180
MKOIL 	 194
IJILO 	 218
IJOIL 	 227
IKIOO 	 294
KIMIL 	 385
LIJIJL 	 2
KILILO 	 17
KILOIL 	 19
JLILIL 	 24
MKILIL 	 42
IJILIL 	 53
IKIILO 	 57
IKIOIL 	 70
KILILIL 	 2
IKIILIL 	 12
LIJLIJL 	 178
LJMKIJL 	 267
LIJLJMK 	 317
LIMKIJL 	 393
LIJLIMK 	 445
LJMKJMK 	 500
LIIJIJL 	 509
LIJLIIJ 	 521
LJMKIMK 	 562
LIMKJMK 	 567
LIIJJMK 	 680
LIMKIMK 	 710
LJMKIIJ 	 812
LIMKIIJ 	 1011
LIIJIMK 	 1013
LIIJIIJ 	 1214
KILOLJLI 	 2
KILOLLKI 	 2
KILILLIK 	 2
JLOLLIJI 	 2
JMKJMKJM 	 2
JMLLKILI 	 2
LKIMKJLI 	 2
LKIMKMLK 	 2
LJLOKJIJ 	 2
LJLOKMLJ 	 2
LJMKJKIM 	 2
LJMKJMLJ 	 2
LIIKIJJI 	 2
LKIMKJIJ 	 2
LJMKJJJM 	 2
LJLOKJLO 	 2
LJMKJIJI 	 2
LKILOKMK 	 2
LKILILKM 	 2
LIKILJML 	 2
LIJOKIIM 	 2
LIJLKILO 	 2
LIMKJMKO 	 2
LIJOKJLO 	 2
LIJLKIKI 	 2
LIJOKJLI 	 2
LIJLJJII 	 2
LIIJJJLO 	 2
LIKILKIJ 	 2
LIIJKIKI 	 2
LIIJJMKI 	 2
LJLILKIK 	 2
LJMKJKII 	 2
LJLOKJIM 	 2
LKILOKJI 	 2
LMKILKIK 	 2
LIJOKMLM 	 2
LIJOKJJI 	 2
LIIJJJII 	 2
LIIJJJIJ 	 2
LMKILKJL 	 2
IKIOLIJI 	 2
IJOLLJLI 	 2
IJILLIJI 	 2
MKILLJLO 	 2
JLILLMKI 	 2
KIMLKILI 	 2
JLOLLMKO 	 2
JLILKIJI 	 2
JILLIIJM 	 2
LJMKKIJI 	 2
LJMKJJII 	 2
LKIMKJJJ 	 2
LIKILMLM 	 2
LIJLMLJL 	 2
LJLOKKII 	 2
LIKIOKMK 	 2
JMKMKOLK 	 2
KILOLIKI 	 2
LJMKKILI 	 2
LJMKKIKI 	 2
LMKOKKIL 	 2
LIIJKIJL 	 2
LIJLJIJI 	 2
LIJLKIML 	 2
LIIJJIJI 	 2
LMKILKJJ 	 2
LIMKKIJJ 	 2
LIKIILKM 	 2
LIMKJJKI 	 2
LIJOKJJL 	 2
MKOLJLIL 	 2
MKILKIJO 	 2
LKIMKMKI 	 2
LKIMKKIL 	 2
IKILJMLM 	 2
IJLJLOLK 	 2
IKIOKJLO 	 2
IKIOLJLI 	 2
IKIOLMKI 	 2
IJLJMILL 	 2
IIJJMKOL 	 2
IKILJLIL 	 2
IKIOLLJL 	 2
IJOLIKII 	 2
IJILKIJI 	 2
IJOLLMKI 	 2
IJOKIKII 	 2
MKOLLJLO 	 2
MKILLIJI 	 2
KIMLLKIL 	 3
JLILKKIM 	 3
JMKJLOLK 	 3
JLOLIJIL 	 3
JLOKJMLK 	 3
JMLLIJLK 	 3
JMLLJLIL 	 3
KILILKJM 	 3
JLOKMKOL 	 3
LKIMKJML 	 3
LKIMKKIJ 	 3
LJMKJJIJ 	 3
LJMKMLJL 	 3
LJMKKIIK 	 3
LIMKJJJM 	 3
LIJLKIIJ 	 3
LIIJKIIK 	 3
LMKILKMK 	 3
LJMKJJIM 	 3
LJLOKIJO 	 3
LIJLKIJL 	 3
LIJOKJKI 	 3
LIJLJLIL 	 3
LIJILKJI 	 3
LIJOKMLK 	 3
LIIKIKIJ 	 3
LIJLJMKO 	 3
LIIKIMKI 	 3
LIJLKIJM 	 3
LIMKJJIM 	 3
LIJLKIJI 	 3
LIIJKIJI 	 3
LJLOKIJI 	 3
LMKOKJIJ 	 3
LJLILKJI 	 3
LIKILJIJ 	 3
LIJOKMKI 	 3
LMKOKJLO 	 3
IKILKILO 	 3
IJILLMKI 	 3
IJLIKIIL 	 3
IJLKILIL 	 3
IJOKJLIL 	 3
MKOKJMLK 	 3
MKILKKIM 	 3
JLILLJLO 	 3
JLOLJLIL 	 3
LKILILKJ 	 3
LJMKJJLO 	 3
LIIJJJJM 	 3
LIKILMKI 	 3
LIJOKKIJ 	 3
LIIJJKIJ 	 3
LIIKIKIL 	 3
MKILLJLI 	 3
LIKIILKK 	 3
MKOKJMLM 	 3
MKOLLKIL 	 3
IJOLLKIL 	 3
IJOKJMLM 	 3
IJILLJLI 	 3
IKILIKII 	 3
IKIILKKI 	 3
IIKIIKII 	 3
IKILMKIL 	 3
IJOLKILI 	 3
IJOKIKIO 	 3
IJLMKOLM 	 3
IJLKIMLK 	 3
IJILLLIK 	 3
IKIOKKIL 	 3
MKOKMKIL 	 3
KILOLIJO 	 4
JMKIJOLK 	 4
JLOLKILO 	 4
JLILLIJO 	 4
JLILLLJM 	 4
JLOLMKIL 	 4
JMKMKOLM 	 4
JLOLLIKI 	 4
LKIMKMLM 	 4
LKIMKKII 	 4
LJLOKJII 	 4
LMKOKIJI 	 4
LJLILKKI 	 4
LJLILKJM 	 4
LKIMKJIK 	 4
LKIMKJKI 	 4
LMKILKKI 	 4
LIIKIJLI 	 4
LIIKIJJJ 	 4
