ID,LHS,LHS Type,RHS,Probability
1,A,preterminal,a,1.0
2,B,preterminal,b,1.0
3,C,preterminal,c,1.0
4,D,preterminal,d,1.0
5,E,preterminal,e,1.0
6,F,preterminal,f,1.0
7,G,preterminal,g,1.0
8,H,preterminal,h,1.0
9,I,preterminal,i,1.0
10,J,preterminal,j,1.0
11,K,preterminal,k,1.0
12,L,preterminal,l,1.0
13,M,preterminal,m,1.0
14,N,preterminal,n,1.0
15,O,preterminal,o,1.0
16,P,preterminal,p,1.0
17,Q,preterminal,q,1.0
18,R,preterminal,r,1.0
19,S2,preterminal,s,1.0
20,T,preterminal,t,1.0
21,U,preterminal,u,1.0
22,V,preterminal,v,1.0
23,W,preterminal,w,1.0
24,X,preterminal,x,1.0
25,Y,preterminal,y,1.0
26,Z,preterminal,z,1.0
27,AA,nonterminal,A B,0.7
28,AA,nonterminal,C D,0.3
29,BB,nonterminal,E F,0.7
30,BB,nonterminal,G H,0.3
31,CC,nonterminal,I J,0.7
32,CC,nonterminal,K L,0.3
33,DD,nonterminal,M N,0.7
34,DD,nonterminal,O P,0.3
35,EE,nonterminal,Q R,0.7
36,EE,nonterminal,S2 T,0.3
37,FF,nonterminal,U V,0.7
38,FF,nonterminal,W X,0.3
39,GG,nonterminal,Y Z,0.7
40,GG,nonterminal,A M,0.3
41,HH,nonterminal,E I,0.7
42,HH,nonterminal,O U,0.3
43,IIII,nonterminal,GG HH,0.3
44,IIII,nonterminal,EE FF,0.5
45,IIII,nonterminal,FF GG,0.2
46,JJJJ,nonterminal,AA HH,0.632
47,JJJJ,nonterminal,BB GG,0.368
48,KKKK,nonterminal,AA BB,0.5
49,KKKK,nonterminal,BB CC,0.2
50,KKKK,nonterminal,CC DD,0.3
51,LLLL,nonterminal,AA EE,0.5
52,LLLL,nonterminal,CC FF,0.3
53,LLLL,nonterminal,DD EE,0.2
54,MMMM,nonterminal,GG EE,0.8
55,MMMM,nonterminal,CC GG,0.1
56,MMMM,nonterminal,DD HH,0.1
57,OOOO,nonterminal,HH FF,1.0
