ID,LHS,LHS Type,RHS,Probability
1,A,preterminal,a,1.0
2,B,preterminal,b,1.0
3,C,preterminal,c,1.0
4,D,preterminal,d,1.0
5,E,preterminal,e,1.0
6,F,preterminal,f,1.0
7,G,preterminal,g,1.0
8,H,preterminal,h,1.0
9,I,preterminal,i,1.0
10,J,preterminal,j,1.0
11,K,preterminal,k,1.0
12,L,preterminal,l,1.0
13,M,preterminal,m,1.0
14,N,preterminal,n,1.0
15,O,preterminal,o,1.0
16,P,preterminal,p,1.0
17,Q,preterminal,q,1.0
18,R,preterminal,r,1.0
19,S2,preterminal,s,1.0
20,T,preterminal,t,1.0
21,U,preterminal,u,1.0
22,V,preterminal,v,1.0
23,W,preterminal,w,1.0
24,X,preterminal,x,1.0
25,Y,preterminal,y,1.0
26,Z,preterminal,z,1.0
27,AA,nonterminal,A B,0.7
28,AA,nonterminal,C D,0.3
29,BB,nonterminal,E F,0.7
30,BB,nonterminal,G H,0.3
31,CC,nonterminal,I J,0.7
32,CC,nonterminal,K L,0.3
33,DD,nonterminal,M N,0.7
34,DD,nonterminal,O P,0.3
35,EE,nonterminal,Q R,0.7
36,EE,nonterminal,S2 T,0.3
37,FF,nonterminal,U V,0.7
38,FF,nonterminal,W X,0.3
39,GG,nonterminal,Y Z,0.7
40,GG,nonterminal,A M,0.3
41,HH,nonterminal,E I,0.7
42,HH,nonterminal,O U,0.3
43,IIII,nonterminal,GG HH,0.3
44,IIII,nonterminal,EE FF,0.5
45,IIII,nonterminal,FF GG,0.2
46,JJJJ,nonterminal,AA HH,0.632
47,JJJJ,nonterminal,BB GG,0.368
48,KKKK,nonterminal,AA BB,0.5
49,KKKK,nonterminal,BB CC,0.2
50,KKKK,nonterminal,CC DD,0.3
51,LLLL,nonterminal,AA EE,0.5
52,LLLL,nonterminal,CC FF,0.3
53,LLLL,nonterminal,DD EE,0.2
54,MMMM,nonterminal,GG EE,0.8
55,MMMM,nonterminal,CC GG,0.1
56,MMMM,nonterminal,DD HH,0.1
57,OOOO,nonterminal,HH FF,1.0
61,n7L,nonterminal,T_J n7LJ,0.22074440663985978
62,n7L,nonterminal,T_I n7LI,0.7792555933601403
63,n7LI,nonterminal,T_J n7LIJ,0.19330510717120933
64,n7LI,nonterminal,T_I n7LII,0.4519714210108494
65,n7LI,nonterminal,T_M n7LIM,0.3547234718179412
66,n7LIM,nonterminal,T_K n7LIMK,1.0
67,n7LIMK,nonterminal,T_I n7LIMKI,0.7885117493472585
68,n7LIMK,nonterminal,T_J n7LIMKJ,0.21148825065274152
69,n7LIMKJ,nonterminal,T_M KKKK,1.0
70,n7LIMKI,nonterminal,T_M KKKK,0.3358561967833491
71,n7LIMKI,nonterminal,T_I JJJJ,0.478240302743614
72,n7LIMKI,nonterminal,T_J LLLL,0.1859035004730369
73,n7LII,nonterminal,T_J n7LIIJ,1.0
74,n7LIIJ,nonterminal,T_J n7LIIJJ,0.1990632318501171
75,n7LIIJ,nonterminal,T_I n7LIIJI,0.8009367681498829
76,n7LIIJI,nonterminal,T_I JJJJ,0.44371345029239767
77,n7LIIJI,nonterminal,T_M KKKK,0.3702485380116959
78,n7LIIJI,nonterminal,T_J LLLL,0.18603801169590642
79,n7LIIJJ,nonterminal,T_M KKKK,1.0
80,n7LIJ,nonterminal,T_L n7LIJL,1.0
81,n7LIJL,nonterminal,T_I n7LIJLI,0.783025325119781
82,n7LIJL,nonterminal,T_J n7LIJLJ,0.21697467488021902
83,n7LIJLJ,nonterminal,T_M KKKK,1.0
84,n7LIJLI,nonterminal,T_M KKKK,0.388986013986014
85,n7LIJLI,nonterminal,T_I JJJJ,0.4554195804195804
86,n7LIJLI,nonterminal,T_J LLLL,0.1555944055944056
87,n7LJ,nonterminal,T_M n7LJM,1.0
88,n7LJM,nonterminal,T_K n7LJMK,1.0
89,n7LJMK,nonterminal,T_I n7LJMKI,0.7664642690331621
90,n7LJMK,nonterminal,T_J n7LJMKJ,0.23353573096683794
91,n7LJMKJ,nonterminal,T_M KKKK,1.0
92,n7LJMKI,nonterminal,T_I JJJJ,0.4948202315661182
93,n7LJMKI,nonterminal,T_M KKKK,0.3424741011578306
94,n7LJMKI,nonterminal,T_J LLLL,0.16270566727605118
